s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
289.3568054;-5.5268394;-36.8210001;1.2827235;-0.0002074;11.6309754;2.5662641
289.4567905;-5.6227041;-36.7925926;1.2826953;-0.0003569;11.6530152;2.5528725
289.5567756;-5.7185677;-36.7641817;1.2826522;-0.0005063;11.6748988;2.5395722
289.6567607;-5.8144299;-36.735766;1.2825941;-0.0006558;11.6966278;2.5263622
289.7567457;-5.9102902;-36.7073439;1.282521;-0.0008052;11.7182037;2.5132416
289.8567308;-6.0061482;-36.6789142;1.282433;-0.0009547;11.7396283;2.5002095
289.9567159;-6.1020036;-36.6504752;1.2823301;-0.0011041;11.760903;2.4872651
290.056701;-6.1978557;-36.6220258;1.2822123;-0.0012536;11.7820294;2.4744074
290.156686;-6.2937044;-36.5935642;1.2820794;-0.001403;11.8030092;2.4616355
290.2566711;-6.389549;-36.5650893;1.2819317;-0.0015525;11.8238437;2.4489487
290.3566562;-6.4853892;-36.5365994;1.281769;-0.001702;11.8445344;2.4363462
290.4566413;-6.5812245;-36.5080933;1.2815913;-0.0018514;11.8650829;2.423827
290.5566263;-6.6770546;-36.4795694;1.2813988;-0.0020009;11.8854905;2.4113904
290.6566114;-6.7728789;-36.4510264;1.2811912;-0.0021503;11.9057587;2.3990355
290.7565965;-6.8686972;-36.4224627;1.2809688;-0.0022998;11.9258889;2.3867617
290.8565816;-6.9645088;-36.393877;1.2807313;-0.0024493;11.9458825;2.3745681
290.9565666;-7.0603135;-36.3652679;1.280479;-0.0025987;11.9657407;2.3624539
291.0565517;-7.1561107;-36.3366339;1.2802117;-0.0027482;11.985465;2.3504184
291.1565368;-7.2519001;-36.3079735;1.2799294;-0.0028977;12.0050566;2.3384609
291.2565218;-7.347681;-36.2792854;1.2796322;-0.0030471;12.0245169;2.3265807
291.3565069;-7.4434534;-36.2505681;1.2793201;-0.0031966;12.0438471;2.3147769
291.456492;-7.5392164;-36.2218202;1.278993;-0.0033461;12.0630485;2.3030489
291.5564771;-7.63497;-36.1930402;1.278651;-0.0034955;12.0821224;2.291396
291.6564621;-7.7307133;-36.1642268;1.278294;-0.003645;12.1010698;2.2798176
291.7564472;-7.8264463;-36.1353785;1.2779221;-0.0037945;12.1198922;2.2683128
291.8564323;-7.9221682;-36.1064939;1.2775352;-0.003944;12.1385906;2.2568811
291.9564174;-8.0178788;-36.0775716;1.2771334;-0.0040935;12.1571662;2.2455218
292.0564024;-8.1135775;-36.0486101;1.2767166;-0.004243;12.1756202;2.2342342
292.1563875;-8.209264;-36.0196079;1.2762849;-0.0043924;12.1939537;2.2230177
292.2563726;-8.3049375;-35.9905638;1.2758383;-0.0045419;12.2121679;-3.6205625
292.3563577;-8.4005981;-35.9614762;1.2753767;-0.0046914;12.1824891;-4.856231
292.4563427;-8.4962448;-35.9323437;1.2749001;-0.0048409;12.1425673;-4.8352761
292.5563278;-8.5918776;-35.903165;1.2744086;-0.0049904;12.1026868;-4.8146043
292.6563129;-8.6874957;-35.8739385;1.2739022;-0.0051399;12.0628459;-4.7942148
292.756298;-8.7830989;-35.8446629;1.2733808;-0.0052894;12.0230425;-4.7741043
292.856283;-8.8786864;-35.8153368;1.2728445;-0.0054389;11.9832747;-4.7542725
292.9562681;-8.9742581;-35.7859586;1.2722932;-0.0055884;11.9435405;-4.7347168
293.0562532;-9.0698132;-35.7565271;1.271727;-0.005738;11.903838;-4.7154365
293.1562383;-9.1653517;-35.7270407;1.2711458;-0.0058875;11.864165;-4.6964288
293.2562233;-9.2608725;-35.6974982;1.2705496;-0.006037;11.8245197;-4.6776933
293.3562084;-9.3563757;-35.6678979;1.2699386;-0.0061865;11.7849;-4.6592271
293.4561935;-9.4518603;-35.6382386;1.2693125;-0.0063361;11.7453038;-4.6410301
293.5561786;-9.5473264;-35.6085188;1.2686715;-0.0064856;11.7057291;-4.6230996
293.6561636;-9.642773;-35.5787372;1.2680156;-0.0066351;11.6661738;-4.6054353
293.7561487;-9.7382;-35.5488921;1.2673447;-0.0067847;11.6266359;-4.5880344
